dmh,dis,x,y,h
XQ-002,76.3484368648,573553.567,3297157.62,3669.47
XQ-002,76.3484368648,573553.567,3297157.62,3669.47
XQ-002,77.823356466,573553.3016,3297156.1505,3669.4871
XQ-002,77.823356466,573553.3016,3297156.1505,3669.4871
XQ-002,79.7829079259,573552.9492,3297154.1992,3669.5099
XQ-002,79.7829079259,573552.9492,3297154.1992,3669.5099
XQ-002,80.1029630997,573552.8917,3297153.8806,3669.5136
XQ-002,80.1029630997,573552.8917,3297153.8806,3669.5136
XQ-002,81.5003628498,573552.6405,3297152.4899,3669.5299
XQ-002,81.5003628498,573552.6405,3297152.4899,3669.5299
XQ-002,81.7722272548,573552.5917,3297152.2194,3669.533
XQ-002,81.7722272548,573552.5917,3297152.2194,3669.533
XQ-002,84.1378329178,573552.1668,3297149.8665,3669.5605
XQ-002,84.1378329178,573552.1668,3297149.8665,3669.5605
XQ-002,85.4491831196,573551.9313,3297148.5628,3669.5757
XQ-002,85.4491831196,573551.9313,3297148.5628,3669.5757
XQ-002,87.4294956008,573551.5759,3297146.5948,3669.5987
XQ-002,87.4294956008,573551.5759,3297146.5948,3669.5987
XQ-002,89.4106770593,573551.2205,3297144.6268,3669.6216
XQ-002,89.4106770593,573551.2205,3297144.6268,3669.6216
XQ-002,90.2528263974,573551.0695,3297143.7905,3669.6314
XQ-002,90.2528263974,573551.0695,3297143.7905,3669.6314
XQ-002,92.2361579761,573550.7139,3297141.8215,3669.6544
XQ-002,92.2361579761,573550.7139,3297141.8215,3669.6544
XQ-002,94.2192216489,573550.3585,3297139.8535,3669.6773
XQ-002,94.2192216489,573550.3585,3297139.8535,3669.6773
XQ-002,96.2029796005,573550.0031,3297137.8855,3669.7003
XQ-002,96.2029796005,573550.0031,3297137.8855,3669.7003
XQ-002,98.1873953163,573549.6476,3297135.9175,3669.7233
XQ-002,98.1873953163,573549.6476,3297135.9175,3669.7233
XQ-002,100.172518984,573549.2922,3297133.9494,3669.7462
XQ-002,100.172518984,573549.2922,3297133.9494,3669.7462
XQ-002,102.158120478,573548.9368,3297131.9814,3669.7692
XQ-002,102.158120478,573548.9368,3297131.9814,3669.7692
XQ-002,104.633819561,573548.4938,3297129.5284,3669.7978
XQ-002,104.633819561,573548.4938,3297129.5284,3669.7978
XQ-002,106.621612955,573548.1382,3297127.5594,3669.8208
XQ-002,106.621612955,573548.1382,3297127.5594,3669.8208
XQ-002,108.60887474,573547.7828,3297125.5914,3669.8438
XQ-002,108.60887474,573547.7828,3297125.5914,3669.8438
XQ-002,109.210091315,573547.6753,3297124.9961,3669.8507
XQ-002,109.210091315,573547.6753,3297124.9961,3669.8507
XQ-002,111.197938587,573547.3199,3297123.0281,3669.8737
XQ-002,111.197938587,573547.3199,3297123.0281,3669.8737
XQ-002,113.187219942,573546.9643,3297121.0591,3669.8967
XQ-002,113.187219942,573546.9643,3297121.0591,3669.8967
XQ-002,115.175890143,573546.6089,3297119.0911,3669.9196
XQ-002,115.175890143,573546.6089,3297119.0911,3669.9196
XQ-002,117.165002276,573546.254,3297117.123,3669.9426
XQ-002,117.165002276,573546.254,3297117.123,3669.9426
XQ-002,117.615865762,573546.1729,3297116.677,3669.9478
XQ-002,117.615865762,573546.1729,3297116.677,3669.9478
XQ-002,119.876002801,573545.7692,3297114.4413,3669.9739
XQ-002,119.876002801,573545.7692,3297114.4413,3669.9739
XQ-002,120.39305902,573545.6768,3297113.9299,3669.9799
XQ-002,120.39305902,573545.6768,3297113.9299,3669.9799
XQ-002,122.746870067,573545.2564,3297111.6021,3670.007
XQ-002,122.746870067,573545.2564,3297111.6021,3670.007
XQ-002,124.737302417,573544.901,3297109.634,3670.03
XQ-002,124.737302417,573544.901,3297109.634,3670.03
